volume_no,file,original_chars,white_chars,paired_sections,original_only_sections,white_only_sections
82,《资治通鉴.第2部》全译(57-123)/082.txt,9978,16442,52,0,0
83,《资治通鉴.第2部》全译(57-123)/083.txt,8596,14044,25,0,0
84,《资治通鉴.第2部》全译(57-123)/084.txt,8073,13921,28,0,0
85,《资治通鉴.第2部》全译(57-123)/085.txt,9016,17071,33,0,1
86,《资治通鉴.第2部》全译(57-123)/086.txt,10263,14562,84,1,0
87,《资治通鉴.第2部》全译(57-123)/087.txt,11381,18130,70,0,1
88,《资治通鉴.第2部》全译(57-123)/088.txt,11139,16739,66,0,0
89,《资治通鉴.第2部》全译(57-123)/089.txt,11246,19041,56,0,0
90,《资治通鉴.第2部》全译(57-123)/090.txt,8982,13342,48,0,1
91,《资治通鉴.第2部》全译(57-123)/091.txt,9813,14220,49,0,1
92,《资治通鉴.第2部》全译(57-123)/092.txt,9660,15704,40,0,0
93,《资治通鉴.第2部》全译(57-123)/093.txt,10558,15345,55,0,0
94,《资治通鉴.第2部》全译(57-123)/094.txt,11641,16813,45,0,0
95,《资治通鉴.第2部》全译(57-123)/095.txt,10563,16412,84,0,0
96,《资治通鉴.第2部》全译(57-123)/096.txt,11010,17154,57,0,0
97,《资治通鉴.第2部》全译(57-123)/097.txt,11335,17834,72,0,1
98,《资治通鉴.第2部》全译(57-123)/098.txt,10454,17763,47,0,0
99,《资治通鉴.第2部》全译(57-123)/099.txt,11435,18606,96,0,1
100,《资治通鉴.第2部》全译(57-123)/100.txt,11946,18827,88,0,0
101,《资治通鉴.第2部》全译(57-123)/101.txt,11075,17343,118,1,1
102,《资治通鉴.第2部》全译(57-123)/102.txt,9572,17372,26,0,0
103,《资治通鉴.第2部》全译(57-123)/103.txt,9704,15283,59,0,2
104,《资治通鉴.第2部》全译(57-123)/104.txt,11485,17097,68,0,0
105,《资治通鉴.第2部》全译(57-123)/105.txt,11592,17972,69,0,0
106,《资治通鉴.第2部》全译(57-123)/106.txt,10808,17092,100,0,1
107,《资治通鉴.第2部》全译(57-123)/107.txt,10367,18203,117,0,1
108,《资治通鉴.第2部》全译(57-123)/108.txt,11856,21547,89,0,1
109,《资治通鉴.第2部》全译(57-123)/109.txt,8627,16471,27,0,0
110,《资治通鉴.第2部》全译(57-123)/110.txt,8074,15898,41,0,2
111,《资治通鉴.第2部》全译(57-123)/111.txt,10685,19149,82,0,2
112,《资治通鉴.第2部》全译(57-123)/112.txt,10978,22690,57,0,0
113,《资治通鉴.第2部》全译(57-123)/113.txt,10250,364,1,1,0
114,《资治通鉴.第2部》全译(57-123)/114.txt,11001,19588,90,0,1
115,《资治通鉴.第2部》全译(57-123)/115.txt,11315,20982,55,0,0
116,《资治通鉴.第2部》全译(57-123)/116.txt,11600,19980,94,0,0
117,《资治通鉴.第2部》全译(57-123)/117.txt,8793,14605,63,0,0
118,《资治通鉴.第2部》全译(57-123)/118.txt,11791,18774,69,1,1
119,《资治通鉴.第2部》全译(57-123)/119.txt,10294,17861,95,0,0
120,《资治通鉴.第2部》全译(57-123)/120.txt,11681,20975,80,0,2
121,《资治通鉴.第2部》全译(57-123)/121.txt,10383,18423,86,1,0
122,《资治通鉴.第2部》全译(57-123)/122.txt,10514,19239,123,0,0
123,《资治通鉴.第2部》全译(57-123)/123.txt,11281,19155,96,0,0
124,《资治通鉴.第3部》全译(124-184)/124.txt,11523,20218,97,0,1
125,《资治通鉴.第3部》全译(124-184)/125.txt,11044,20326,50,0,0
126,《资治通鉴.第3部》全译(124-184)/126.txt,6906,12530,46,1,1
127,《资治通鉴.第3部》全译(124-184)/127.txt,7952,15261,27,0,0
128,《资治通鉴.第3部》全译(124-184)/128.txt,10026,20732,80,0,1
129,《资治通鉴.第3部》全译(124-184)/129.txt,8497,15241,120,0,1
130,《资治通鉴.第3部》全译(124-184)/130.txt,7191,11845,32,0,0
131,《资治通鉴.第3部》全译(124-184)/131.txt,11651,18069,59,0,0
132,《资治通鉴.第3部》全译(124-184)/132.txt,8286,12797,83,0,0
133,《资治通鉴.第3部》全译(124-184)/133.txt,9661,16021,92,1,1
134,《资治通鉴.第3部》全译(124-184)/134.txt,11313,19149,63,0,0
135,《资治通鉴.第3部》全译(124-184)/135.txt,11093,20477,142,0,3
136,《资治通鉴.第3部》全译(124-184)/136.txt,10323,19339,111,0,0
137,《资治通鉴.第3部》全译(124-184)/137.txt,10253,20040,78,0,0
138,《资治通鉴.第3部》全译(124-184)/138.txt,5324,11573,36,0,0
139,《资治通鉴.第3部》全译(124-184)/139.txt,10373,20006,55,1,0
140,《资治通鉴.第3部》全译(124-184)/140.txt,10521,19614,56,0,2
141,《资治通鉴.第3部》全译(124-184)/141.txt,8890,17151,54,0,0
142,《资治通鉴.第3部》全译(124-184)/142.txt,7509,15350,29,0,1
143,《资治通鉴.第3部》全译(124-184)/143.txt,6757,12565,22,0,0
144,《资治通鉴.第3部》全译(124-184)/144.txt,10461,20198,37,0,0
145,《资治通鉴.第3部》全译(124-184)/145.txt,10838,20526,87,0,1
146,《资治通鉴.第3部》全译(124-184)/146.txt,9684,16067,78,0,0
147,《资治通鉴.第3部》全译(124-184)/147.txt,9680,16823,85,0,3
148,《资治通鉴.第3部》全译(124-184)/148.txt,11143,17017,80,0,0
149,《资治通鉴.第3部》全译(124-184)/149.txt,9655,17793,72,0,0
150,《资治通鉴.第3部》全译(124-184)/150.txt,11661,18264,63,1,0
151,《资治通鉴.第3部》全译(124-184)/151.txt,7483,11897,71,0,0
152,《资治通鉴.第3部》全译(124-184)/152.txt,7369,13001,37,0,0
153,《资治通鉴.第3部》全译(124-184)/153.txt,5339,8912,29,0,0
154,《资治通鉴.第3部》全译(124-184)/154.txt,9311,16248,17,0,0
155,《资治通鉴.第3部》全译(124-184)/155.txt,10219,17730,54,0,1
156,《资治通鉴.第3部》全译(124-184)/156.txt,10517,20133,44,1,0
157,《资治通鉴.第3部》全译(124-184)/157.txt,9686,16373,93,0,1
158,《资治通鉴.第3部》全译(124-184)/158.txt,10929,20348,110,0,3
159,《资治通鉴.第3部》全译(124-184)/159.txt,6881,12515,34,0,0
160,《资治通鉴.第3部》全译(124-184)/160.txt,7292,12855,34,0,0
161,《资治通鉴.第3部》全译(124-184)/161.txt,10719,19686,24,0,0
162,《资治通鉴.第3部》全译(124-184)/162.txt,11744,20507,60,0,2
163,《资治通鉴.第3部》全译(124-184)/163.txt,7992,13457,77,1,1
164,《资治通鉴.第3部》全译(124-184)/164.txt,11311,20364,82,0,0
165,《资治通鉴.第3部》全译(124-184)/165.txt,9402,15904,73,1,0
166,《资治通鉴.第3部》全译(124-184)/166.txt,10375,19020,79,0,2
167,《资治通鉴.第3部》全译(124-184)/167.txt,10655,20555,132,1,2
168,《资治通鉴.第3部》全译(124-184)/168.txt,10611,19705,94,1,1
169,《资治通鉴.第3部》全译(124-184)/169.txt,10671,17797,111,0,0
170,《资治通鉴.第3部》全译(124-184)/170.txt,11574,18783,146,0,1
171,《资治通鉴.第3部》全译(124-184)/171.txt,11127,18411,100,0,1
